Date,Ticker,Type,Qty,Price
2026-05-05,HINDUNILVR.NS,BUY,1,2307.7
2026-05-05,NESTLEIND.NS,BUY,1,1479.4
2026-05-05,SUNPHARMA.NS,BUY,1,1818.1
